hellaswag_ita,itaeval
haspeede2_stereo,itaeval
arc_easy_ita,itaeval
news_sum_fanpage,itaeval
news_sum_ilpost,itaeval
gfg_task_3_1,gfg
haspeede2_hs,itaeval
ami_2020_aggressiveness,itaeval
gfg_task_2_1,gfg
geese_noexp,geese
ironita_sarcasm,itaeval
geese_llama3,geese
belebele_ita,itaeval
perse_task_3,perse
perse_task_1,perse
beep,beep
itacola,itaeval
ecwca-hint,ecwca
ecwca-no-hint,ecwca
arc_challenge_ita,itaeval
eureka_original,eurekaRebus
ironita_irony,itaeval
perse_task_2,perse
gfg_task_1_2,gfg
ami_2020_misogyny,itaeval
perse_task_0,perse
hatecheck_ita,hatecheck_ita
gfg_task_1_1,gfg
ita-sense-ml-no-translation,ita-sense
ita-sense-gen-no-translation,ita-sense
ita-sense-ml-with-translation,ita-sense
ita-sense-gen-with-translation,ita-sense
geese_dummy,geese
gfg_task_2_2,gfg
geese_human,geese
gfg_task_2_3,gfg
sentipolc,itaeval
gfg_task_3_2,gfg
veryfIT_small,veryfIT
veryfIT_enriched,veryfIT
veryfIT_full,veryfIT
amelia-arg-component-fewshot,amelia
amelia-arg-component-zeroshot,amelia
amelia-arg-premisetype-fewshot,amelia
amelia-arg-premisetype-zeroshot,amelia
amelia-arg-scheme-fewshot,amelia
amelia-arg-scheme-zeroshot,amelia
blm_od1_0shots,blm
blm_caus1_0shots,blm
blm_caus2_0shots,blm
blm_caus1_1shots,blm
blm_caus2_1shots,blm
blm_od2_0shots,blm
blm_od1_1shots,blm
blm_od2_1shots,blm
blm_agr1_0shots,blm
blm_agr2_0shots,blm
blm_agr1_1shots,blm
blm_agr2_1shots,blm
agr_tasks,blm
od_tasks,blm
caus_tasks,blm
abricot_abs,abricot
abricot_inc,abricot
honest_ita,itaeval
conflict_detect,gita4calamita
gattina-ansa,gattina
gattina-galileo,gattina
invalsi_ita,invalsi
invalsi_ita_binarie,invalsi
invalsi_ita_multipla,invalsi
invalsi_mate,invalsi
invalsi_mate_multipla,invalsi
invalsi_mate_numero,invalsi
invalsi_mate_verofalso,invalsi
multi-it-a,mult-it
multi-it-c,mult-it
pejorativITy-misoginy,pejorativITy
pejorativITy-misoginy-context,pejorativITy
pejorativITy-standard,pejorativITy
physical_state,gita4calamita
squad_it,itaeval
story_class,gita4calamita
traceIT,traceIT
truthfulqa_gen_ita,itaeval
truthfulqa_mc1_ita,itaeval
truthfulqa_mc2_ita,itaeval
gente_rephrasing,itaeval
eureka_hints,eurekaRebus
